name,position,id,location,manager,email,fill,stroke,refs,url,image
A methodology for creating and validating psychological stories for conveying and measuring psychological traits,2019,49,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063209392&doi=10.1007%2fs11257-019-09219-6&partnerID=40&md5=d1253528f0f5581f53f7d2eed112cd0e,#d5e8d4,#82b366,"Personality expression and recognition in Chinese language usage,",https://app.diagrams.net,
Feature Engineering and Word Embedding Impacts for Automatic Personality Detection on Instant Message,2019,50,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073203261&doi=10.1109%2fICIMTech.2019.8843783&partnerID=40&md5=1de5e8c31b24577dd7fa90beeccd1ecd,#d5e8d4,#82b366,,https://app.diagrams.net,
Clustering based personality prediction on Turkish tweets,2019,51,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078852406&doi=10.1145%2f3341161.3343513&partnerID=40&md5=77f0b49019b87878a08e25e0c0869971,#d5e8d4,#82b366,,https://app.diagrams.net,
Automatic Extraction of Personality from Text: Challenges and Opportunities,2019,52,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081304625&doi=10.1109%2fBigData47090.2019.9005467&partnerID=40&md5=b82ba9c9e801165b9f0ffca74e8c1fee,#d5e8d4,#82b366,,https://app.diagrams.net,
Automatic Text-Based Personality Recognition on Monologues and Multiparty Dialogues Using Attentive Networks and Contextual Embeddings,2020,53,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85106561523&partnerID=40&md5=48060ed4f351265c4a2b320cf2c49611,#d5e8d4,#82b366,,https://app.diagrams.net,
An OOV-Aware Curation Process for Psycholinguistic Analysis of Social Media Text - A Hybrid Approach,2020,54,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097844599&doi=10.1007%2f978-3-030-64823-7_11&partnerID=40&md5=ae22250d0a5031acdf5c4084772c90fd,#d5e8d4,#82b366,,https://app.diagrams.net,
Evaluation of the accuracy of personality judgments based on written verbal production [Evaluacija tačnosti procena ličnosti na osnovu pisane verbalne produkcije],2020,55,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85095856096&doi=10.19090%2fPP.2020.3.333-348&partnerID=40&md5=eaa7829d3854a6c29fdeb9a0ce427da9,#d5e8d4,#82b366,,https://app.diagrams.net,
BREXIT: Psychometric Profiling the Political Salubrious through Machine Learning: Predicting personality traits of Boris Johnson through Twitter political text,2020,56,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091479623&doi=10.1145%2f3405962.3405981&partnerID=40&md5=5b9b988ec37a4a0af9fe4265c4ecefc5,#d5e8d4,#82b366,,https://app.diagrams.net,
Predicting Personality Using Answers to Open-Ended Interview Questions,2020,57,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85087818936&doi=10.1109%2fACCESS.2020.3004002&partnerID=40&md5=aad5b1770d59d9d6431986b310dcce5a,#d5e8d4,#82b366,,https://app.diagrams.net,
Mining micro-influencers from social media posts,2020,58,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083038493&doi=10.1145%2f3341105.3373954&partnerID=40&md5=0bf27a8e3280685becd648fd54eeaa13,#d5e8d4,#82b366,,https://app.diagrams.net,
Personality Assessment Using Social Media for Hiring Candidates,2020,59,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090380040&doi=10.1109%2fCSCITA47329.2020.9137818&partnerID=40&md5=f4834e7e2f1a2416b5303d7dbebf8bb8,#d5e8d4,#82b366,,https://app.diagrams.net,
Multilingual transformer-based personality traits estimation,2020,60,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085080344&doi=10.3390%2finfo11040179&partnerID=40&md5=590d131e1ea07c10f6d5c564ed07dc18,#d5e8d4,#82b366,,https://app.diagrams.net,
Knowledge of words: An interpretable approach for personality recognition from social media,2020,61,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85079218602&doi=10.1016%2fj.knosys.2020.105550&partnerID=40&md5=73f1479178d20a8d958b8ec753105bd0,#d5e8d4,#82b366,,https://app.diagrams.net,
Vyaktitv: A Multimodal Peer-to-Peer Hindi Conversations based Dataset for Personality Assessment,2020,62,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097236394&doi=10.1109%2fBigMM50055.2020.00024&partnerID=40&md5=e8e2e1ceb00c3f8b1007c04f82a4c1bd,#d5e8d4,#82b366,,https://app.diagrams.net,
CR-Net: A Deep Classification-Regression Network for Multimodal Apparent Personality Analysis,2020,63,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082835263&doi=10.1007%2fs11263-020-01309-y&partnerID=40&md5=2cc978be6370cf9ea1e7583ecd79ff07,#d5e8d4,#82b366,,https://app.diagrams.net,
Personality Traits Detection in Bangla: A Benchmark Dataset with Comparative Performance Analysis of State-of-the-Art Methods,2020,64,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104510888&doi=10.1109%2fICCIT51783.2020.9392722&partnerID=40&md5=7ea26942b704d789851136d535499da0,#d5e8d4,#82b366,,https://app.diagrams.net,
A Personality Mining System for German Twitter Posts with Global Vectors Word Embedding,2021,65,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85120580393&doi=10.1109%2fACCESS.2021.3130937&partnerID=40&md5=853ed69a42802260234f43bfd88eca8f,#d5e8d4,#82b366,,https://app.diagrams.net,
Personality expression and recognition in Chinese language usage,2021,66,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089857530&doi=10.1007%2fs11257-020-09276-2&partnerID=40&md5=7f7be456ccdd7318a2fed224589d8dd5,#d5e8d4,#82b366,,https://app.diagrams.net,
Psychological Human Traits Detection based on Universal Language Modeling,2021,67,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85094980668&doi=10.1016%2fj.eij.2020.09.001&partnerID=40&md5=cb2911bd2fe7ec7ee9e9a05cd021a7e8,#d5e8d4,#82b366,,https://app.diagrams.net,
New approach of measuring human personality traits using ontology-based model from social media data,2021,68,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85117285343&doi=10.3390%2finfo12100413&partnerID=40&md5=16efb3bbaf126bea2f4be0f73940f888,#d5e8d4,#82b366,,https://app.diagrams.net,
Semantic-enhanced sequential modeling for personality trait recognition from texts,2021,69,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102835904&doi=10.1007%2fs10489-021-02277-7&partnerID=40&md5=835e4199d3d1c337990a8e26729feb5d,#d5e8d4,#82b366,,https://app.diagrams.net,
Big five personality prediction based in Indonesian tweets using machine learning methods,2022,70,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122796837&doi=10.11591%2fijece.v12i2.pp1973-1981&partnerID=40&md5=87f376faaad330a69e7845bbff2e6856,#d5e8d4,#82b366,,https://app.diagrams.net,
My Tweets Bring All the Traits to the Yard: Predicting Personality and Relational Traits in Online Social Networks,2022,71,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85131120158&doi=10.1145%2f3523749&partnerID=40&md5=f11a139c4da58bb79e5648cf649304f3,#d5e8d4,#82b366,,https://app.diagrams.net,
Multi-label personality trait identification from text,2022,72,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126330968&doi=10.1007%2fs11042-022-12548-1&partnerID=40&md5=0b985d72d75a1aeabefd636c910c6ad9,#d5e8d4,#82b366,,https://app.diagrams.net,
Regional personality assessment through social media language,2022,73,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85116819278&doi=10.1111%2fjopy.12674&partnerID=40&md5=410734d4be978311676aae39a0e193c3,#d5e8d4,#82b366,,https://app.diagrams.net,
Using Natural Language Processing to Identify Effective Influencers,2022,74,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85136918195&doi=10.1177%2f14707853221101565&partnerID=40&md5=5aaa9b2fd3b428a630e011bad7212dfc,#d5e8d4,#82b366,,https://app.diagrams.net,
