SOURCE,DESTINITION,AMOUNT
Personality and language use in self-narratives,Evaluation of the accuracy of personality judgments based on written verbal production [Evaluacija tačnosti procena ličnosti na osnovu pisane verbalne produkcije],1
Personality and language use in self-narratives,Personality expression and recognition in Chinese language usage,1
Personality and language use in self-narratives,Using Natural Language Processing to Identify Effective Influencers,1
Recognition of personality traits from human spoken conversations,Annotation and recognition of personality traits in spoken conversations from the AMI meetings corpus,1
Recognition of personality traits from human spoken conversations,Vyaktitv: A Multimodal Peer-to-Peer Hindi Conversations based Dataset for Personality Assessment,1
Recognition of personality traits from human spoken conversations,Personality Traits Detection in Bangla: A Benchmark Dataset with Comparative Performance Analysis of State-of-the-Art Methods,1
Predicting dark triad personality traits from twitter usage and a linguistic analysis of tweets,semi-supervised classification approach applied to personality prediction in social media,1
Predicting dark triad personality traits from twitter usage and a linguistic analysis of tweets,Analyzing and preventing bias in text-based personal trait prediction algorithms,1
Predicting dark triad personality traits from twitter usage and a linguistic analysis of tweets,Automated Domain Bias Correction and Its Application in Text-Based Personality Analysis,1
Improving user profile with personality traits predicted from social media content,Exploiting turn-taking temporal evolution for personality trait perception in dyadic conversations,1
Improving user profile with personality traits predicted from social media content,A methodology for creating and validating psychological stories for conveying and measuring psychological traits,1
Improving user profile with personality traits predicted from social media content,New approach of measuring human personality traits using ontology-based model from social media data,1
Common sense knowledge based personality recognition from text,semi-supervised classification approach applied to personality prediction in social media,1
Common sense knowledge based personality recognition from text,Modeling personality traits of Filipino Twitter users,1
Common sense knowledge based personality recognition from text,Mining personality traits from social messages for game recommender systems,1
Just the way you chat: Linking personality,Statistical analysis of personality and identity in chats using a keylogging platform,1
semi-supervised classification approach applied to personality prediction in social media,My Tweets Bring All the Traits to the Yard: Predicting Personality and Relational Traits in Online Social Networks,1
How do personality traits affect communication among users in online social networks?,Semantic-enhanced sequential modeling for personality trait recognition from texts,1
A vectorial semantics approach to personality assessment,Predicting Personality Traits from Social Media using Text Semantics,1
A vectorial semantics approach to personality assessment,Predicting Personality Using Answers to Open-Ended Interview Questions,1
Automatic personality assessment through social media language,PT-LDA: A latent variable model to predict personality traits of social network users,1
Automatic personality assessment through social media language,Measuring Temporal Orientation With Language,1
Automatic personality assessment through social media language,Am I who I say I am? Unobtrusive self-representation and personality recognition on Facebook,1
Automatic personality assessment through social media language,A methodology for creating and validating psychological stories for conveying and measuring psychological traits,1
Automatic personality assessment through social media language,Personality expression and recognition in Chinese language usage,1
Automatic personality assessment through social media language,New approach of measuring human personality traits using ontology-based model from social media data,1
Automatic personality assessment through social media language,My Tweets Bring All the Traits to the Yard: Predicting Personality and Relational Traits in Online Social Networks,1
Automatic personality assessment through social media language,Regional personality assessment through social media language,1
Predicting personality traits of Chinese users based on Facebook wall posts,Deep learning-based personality recognition from text posts of online social networks,1
Predicting personality traits of Chinese users based on Facebook wall posts,Personality expression and recognition in Chinese language usage,1
Exploiting turn-taking temporal evolution for personality trait perception in dyadic conversations,Mining micro-influencers from social media posts,1
Analyzing and preventing bias in text-based personal trait prediction algorithms,Automated Domain Bias Correction and Its Application in Text-Based Personality Analysis,1
Analyzing and preventing bias in text-based personal trait prediction algorithms,A Personality Mining System for German Twitter Posts with Global Vectors Word Embedding,1
Beyond the words: Predicting user personality from heterogeneous information,User profiling through deep multimodal fusion,1
Beyond the words: Predicting user personality from heterogeneous information,Who am I? Personality detection based on deep learning for texts,1
Beyond the words: Predicting user personality from heterogeneous information,Predicting Personality Traits from Social Media using Text Semantics,1
Beyond the words: Predicting user personality from heterogeneous information,New approach of measuring human personality traits using ontology-based model from social media data,1
Deep Learning-Based Document Modeling for Personality Detection from Text,Personality Assessment Using Social Media for Hiring Candidates,1
Deep Learning-Based Document Modeling for Personality Detection from Text,Multilingual transformer-based personality traits estimation,1
Deep Learning-Based Document Modeling for Personality Detection from Text,Semantic-enhanced sequential modeling for personality trait recognition from texts,1
Deep learning-based personality recognition from text posts of online social networks,Personality traits for Egyptian twitter users dataset,1
Deep learning-based personality recognition from text posts of online social networks,Multi-label personality trait identification from text,1
Mining personality traits from social messages for game recommender systems,Semantic-enhanced sequential modeling for personality trait recognition from texts,1
A methodology for creating and validating psychological stories for conveying and measuring psychological traits,Personality expression and recognition in Chinese language usage,1
